[dotenv@17.3.1] injecting env (10) from .env.local -- tip: ⚙️  load multiple .env files with { path: ['.env.local', '.env'] }
Starting Sequential EXTREME SAFEMODE Sweep: es, ja

[es] Translating 889 remaining keys...
  [es] Processing Batch 1/445...
    Rate limited (429). Waiting 65s then retrying...
    Rate limited (429). Waiting 97.5s then retrying...
    Rate limited (429). Waiting 146.25s then retrying...
    Rate limited (429). Waiting 219.375s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
    Rate limited (429). Waiting 300s then retrying...
